Driver,Rank,Speed,Location
22,1,335.0,Austin
22,2,331.0,Austin
22,3,329.0,Austin
22,4,320.0,Austin
22,5,313.0,Austin
22,6,313.0,Austin
22,7,311.0,Austin
22,8,311.0,Austin
22,9,311.0,Austin
22,10,311.0,Austin
22,11,310.0,Austin
22,12,310.0,Austin
22,13,310.0,Austin
22,14,310.0,Austin
22,15,310.0,Austin
31,1,338.0,Austin
31,2,331.0,Austin
31,3,331.0,Austin
31,4,330.0,Austin
31,5,328.0,Austin
31,6,328.0,Austin
31,7,327.0,Austin
31,8,325.0,Austin
31,9,322.0,Austin
31,10,322.0,Austin
31,11,318.0,Austin
31,12,316.0,Austin
31,13,315.0,Austin
31,14,315.0,Austin
31,15,314.0,Austin
81,1,333.0,Austin
81,2,329.0,Austin
81,3,313.0,Austin
81,4,313.0,Austin
81,5,311.0,Austin
81,6,311.0,Austin
81,7,311.0,Austin
81,8,311.0,Austin
81,9,311.0,Austin
81,10,310.0,Austin
81,11,309.0,Austin
81,12,309.0,Austin
81,13,309.0,Austin
81,14,309.0,Austin
81,15,309.0,Austin
22,1,324.0,Budapest
22,2,323.0,Budapest
22,3,321.0,Budapest
22,4,320.0,Budapest
22,5,320.0,Budapest
22,6,320.0,Budapest
22,7,320.0,Budapest
22,8,318.0,Budapest
22,9,318.0,Budapest
22,10,317.0,Budapest
22,11,316.0,Budapest
22,12,316.0,Budapest
22,13,303.0,Budapest
22,14,302.0,Budapest
22,15,302.0,Budapest
31,1,318.0,Budapest
31,2,318.0,Budapest
31,3,317.0,Budapest
31,4,317.0,Budapest
31,5,316.0,Budapest
31,6,316.0,Budapest
31,7,316.0,Budapest
31,8,316.0,Budapest
31,9,316.0,Budapest
31,10,316.0,Budapest
31,11,316.0,Budapest
31,12,315.0,Budapest
31,13,314.0,Budapest
31,14,314.0,Budapest
31,15,300.0,Budapest
81,1,329.0,Budapest
81,2,322.0,Budapest
81,3,319.0,Budapest
81,4,318.0,Budapest
81,5,317.0,Budapest
81,6,317.0,Budapest
81,7,317.0,Budapest
81,8,315.0,Budapest
81,9,313.0,Budapest
81,10,309.0,Budapest
81,11,300.0,Budapest
81,12,299.0,Budapest
81,13,298.0,Budapest
81,14,298.0,Budapest
81,15,298.0,Budapest
27,1,335.0,Imola
27,2,332.0,Imola
27,3,332.0,Imola
27,4,331.0,Imola
27,5,330.0,Imola
27,6,330.0,Imola
27,7,330.0,Imola
27,8,329.0,Imola
27,9,329.0,Imola
27,10,328.0,Imola
27,11,328.0,Imola
27,12,328.0,Imola
27,13,328.0,Imola
27,14,326.0,Imola
27,15,324.0,Imola
31,1,340.0,Jeddah
31,2,334.0,Jeddah
31,3,333.0,Jeddah
31,4,331.0,Jeddah
31,5,331.0,Jeddah
31,6,331.0,Jeddah
31,7,330.0,Jeddah
31,8,330.0,Jeddah
31,9,330.0,Jeddah
31,10,329.0,Jeddah
31,11,329.0,Jeddah
31,12,329.0,Jeddah
31,13,329.0,Jeddah
31,14,328.0,Jeddah
31,15,327.0,Jeddah
81,1,339.0,Jeddah
81,2,332.0,Jeddah
81,3,328.0,Jeddah
81,4,327.0,Jeddah
81,5,327.0,Jeddah
81,6,323.0,Jeddah
81,7,319.0,Jeddah
81,8,319.0,Jeddah
81,9,318.0,Jeddah
81,10,318.0,Jeddah
81,11,317.0,Jeddah
81,12,317.0,Jeddah
81,13,317.0,Jeddah
81,14,317.0,Jeddah
81,15,317.0,Jeddah
16,1,355.0,Las Vegas
16,2,355.0,Las Vegas
16,3,355.0,Las Vegas
16,4,353.0,Las Vegas
16,5,353.0,Las Vegas
16,6,353.0,Las Vegas
16,7,352.0,Las Vegas
16,8,352.0,Las Vegas
16,9,352.0,Las Vegas
16,10,352.0,Las Vegas
16,11,351.0,Las Vegas
